time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2026-07-03 08:38:00,7509.1,7509.3,7508.7,7508.9,7509.7,7509.9,7509.3,7509.5,28
2026-07-03 08:39:00,7508.8,7508.8,7508.1,7508.1,7509.4,7509.4,7508.7,7508.7,26
2026-07-03 08:40:00,7508.4,7508.4,7507.2,7508.3,7509.0,7509.0,7507.8,7508.9,23
2026-07-03 08:41:00,7508.8,7509.2,7508.5,7509.1,7509.4,7509.8,7509.1,7509.7,26
2026-07-03 08:42:00,7509.2,7512.5,7509.1,7511.3,7509.8,7513.1,7509.7,7511.9,55
2026-07-03 08:43:00,7511.0,7511.0,7509.4,7509.4,7511.6,7511.6,7510.0,7510.0,43
2026-07-03 08:44:00,7509.7,7510.5,7509.2,7509.9,7510.3,7511.1,7509.8,7510.5,38
2026-07-03 08:45:00,7510.1,7510.1,7509.2,7509.3,7510.7,7510.7,7509.8,7509.9,33
2026-07-03 08:46:00,7509.4,7509.9,7508.9,7509.7,7510.0,7510.5,7509.5,7510.3,36
2026-07-03 08:47:00,7509.6,7509.7,7508.7,7508.7,7510.2,7510.3,7509.3,7509.3,17
2026-07-03 08:48:00,7508.0,7508.2,7507.5,7507.8,7508.6,7508.8,7508.1,7508.4,20
2026-07-03 08:49:00,7508.0,7508.3,7507.6,7507.9,7508.6,7508.9,7508.2,7508.5,18
2026-07-03 08:50:00,7508.2,7508.2,7507.3,7507.3,7508.8,7508.8,7507.9,7507.9,20
2026-07-03 08:51:00,7507.2,7507.2,7505.7,7506.3,7507.8,7507.8,7506.3,7506.9,23
2026-07-03 08:52:00,7506.4,7506.5,7505.4,7505.7,7507.0,7507.1,7506.0,7506.3,20
2026-07-03 08:53:00,7505.6,7505.8,7505.1,7505.4,7506.2,7506.4,7505.7,7506.0,15
2026-07-03 08:54:00,7505.6,7506.2,7505.6,7505.9,7506.2,7506.8,7506.2,7506.5,15
2026-07-03 08:55:00,7505.6,7505.9,7505.3,7505.7,7506.2,7506.5,7505.9,7506.3,19
2026-07-03 08:56:00,7505.8,7505.8,7505.2,7505.7,7506.4,7506.4,7505.8,7506.3,20
2026-07-03 08:57:00,7505.4,7505.9,7505.1,7505.3,7506.0,7506.5,7505.7,7505.9,22
2026-07-03 08:58:00,7505.4,7505.8,7505.1,7505.5,7506.0,7506.4,7505.7,7506.1,26
2026-07-03 08:59:00,7505.4,7505.4,7504.6,7504.9,7506.0,7506.0,7505.2,7505.5,10
2026-07-03 09:00:00,7504.6,7506.2,7504.2,7505.8,7505.2,7506.8,7504.8,7506.4,70
2026-07-03 09:01:00,7505.6,7506.9,7505.1,7506.6,7506.2,7507.5,7505.7,7507.2,58
2026-07-03 09:02:00,7506.5,7506.5,7505.2,7505.7,7507.1,7507.1,7505.8,7506.3,65
2026-07-03 09:03:00,7505.8,7506.0,7505.4,7505.7,7506.4,7506.6,7506.0,7506.3,36
2026-07-03 09:04:00,7505.9,7506.1,7504.9,7505.6,7506.5,7506.7,7505.5,7506.2,45
2026-07-03 09:05:00,7505.5,7505.5,7504.5,7504.8,7506.1,7506.1,7505.1,7505.4,35
2026-07-03 09:06:00,7504.9,7505.8,7504.8,7505.7,7505.5,7506.4,7505.4,7506.3,43
2026-07-03 09:07:00,7505.8,7506.4,7505.7,7506.4,7506.4,7507.0,7506.3,7507.0,33
2026-07-03 09:08:00,7506.2,7507.0,7506.0,7507.0,7506.8,7507.6,7506.6,7507.6,29
2026-07-03 09:09:00,7506.8,7507.5,7506.7,7507.1,7507.4,7508.1,7507.3,7507.7,37
2026-07-03 09:10:00,7507.0,7507.4,7505.9,7506.0,7507.6,7508.0,7506.5,7506.6,42
